;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MAE;45.0;45.0;113.0;113.0;45.0;44.0;75.4;47.4;29.5;3.2;10.8;20.8;11.5;48.6;1.6;29.5
RMSE;62.4;62.4;156.1;156.1;62.4;61.2;104.7;66.0;41.2;4.4;16.2;29.9;16.7;69.6;2.5;41.2
max_day;1296.9;1296.9;3736.4;3736.4;1296.9;1235.4;2458.0;1401.0;665.9;67.1;183.2;424.6;179.9;1089.7;23.5;665.9
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;16.7;16.7;14.3;14.3;16.7;17.3;14.6;16.3;22.3;23.6;31.8;25.2;33.4;22.8;37.8;22.3
