;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MAE;35.2;35.2;79.9;79.6;35.0;34.4;52.0;35.7;23.6;2.6;10.8;18.5;12.3;38.3;1.8;23.7
RMSE;51.2;51.2;115.3;115.1;51.0;50.7;75.2;53.9;34.5;3.6;16.4;27.2;17.5;56.2;2.8;34.5
max_day;1220.8;1220.8;3564.2;3564.2;1220.8;1160.1;2343.4;1323.5;606.6;60.8;166.3;387.2;163.4;998.5;21.4;606.6
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;13.7;13.7;10.6;10.6;13.7;14.3;10.5;13.3;18.7;19.3;32.2;22.8;35.0;18.4;42.0;18.7
