;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
MAE;25.0;10.3;13.5;24.8;44.9;24.0;60.4;89.9;32.7;8.7;14.2;37.2;58.7;32.6;19.7;26.9
RMSE;38.0;14.1;19.3;36.3;59.9;28.4;81.2;116.7;46.0;10.9;17.3;46.8;91.4;39.2;24.1;35.2
