;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
MAE;19.5;19.5;43.8;43.8;19.5;18.7;31.6;13.7;10.9;1.9;7.8;12.4;11.9;26.7;2.2;10.9
RMSE;21.0;21.0;50.2;50.2;21.0;20.0;37.0;17.0;12.6;2.4;9.5;15.4;12.2;33.0;2.6;12.6
max_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;5.6;5.6;4.6;4.6;5.6;5.6;5.2;4.2;6.8;13.0;18.6;12.9;24.3;10.8;39.4;6.8
