;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
MAE;42.2;42.3;41.0;40.5;41.0;40.4;39.6;40.1;40.8;41.3;40.5;39.6;39.1;38.5;38.0;38.7
RMSE;72.2;72.0;69.9;69.3;70.7;70.3;68.3;69.7;71.3;71.8;70.1;68.5;67.6;67.4;66.4;67.7
