;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MAE;35.2;35.3;80.2;80.2;35.3;34.5;52.7;35.6;23.8;2.6;11.0;18.0;12.3;38.2;1.8;23.8
RMSE;50.9;50.9;114.7;114.7;50.9;50.2;75.7;53.1;34.5;3.7;16.7;26.3;17.7;56.0;2.8;34.4
max_day;1220.8;1220.8;3564.2;3564.2;1220.8;1160.1;2343.4;1323.5;606.6;60.8;166.3;387.2;163.4;998.5;21.4;606.6
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;13.6;13.6;10.5;10.5;13.6;14.2;10.6;13.1;18.7;19.6;32.9;22.1;35.3;18.4;42.5;18.7
