;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
MAE;19.1;19.1;43.8;43.8;19.1;18.3;31.6;13.6;11.5;1.9;7.8;12.2;12.0;27.3;2.3;11.5
RMSE;20.5;20.5;50.6;50.6;20.5;19.6;37.8;16.8;13.0;2.4;9.4;15.0;12.3;33.9;2.6;13.0
max_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;5.5;5.5;4.6;4.6;5.5;5.5;5.3;4.2;7.0;12.8;18.5;12.7;24.5;11.1;40.4;7.0
