;HR_A;MR_A;HR_B;MR_B;C;D;A;B;E;S7;S6;S5;S3;S1;S2;S4
Loss;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
MAE;248.0;250.5;779.4;772.3;248.5;232.6;475.2;203.5;52.0;19.9;39.6;91.0;48.0;198.0;6.0;52.0
RMSE;281.4;286.8;882.7;868.8;294.0;252.4;541.0;259.2;61.2;25.8;48.4;113.2;51.8;256.4;6.6;61.2
max_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
mean_day;373.1;373.1;1088.6;1088.6;373.1;354.3;715.5;404.4;184.4;18.9;50.9;118.9;50.1;304.6;6.5;184.4
pct_err_%;75.4;76.9;81.1;79.8;78.8;71.2;75.6;64.1;33.2;137.0;95.0;95.2;103.3;84.2;101.7;33.2
